"","Region","Square","Species","Max_BE","BE_Category","Sq_number","Num_PC","Percent_PC","Abundance","Num_of_Squares","fill","stroke"
"22","2","11NS43","Black-chinned Hummingbird","H","POSS","1","1","4.35","0.087","1","#FFA500","#FFA500"
"23","2","11NS51","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"24","2","11NS52","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"25","2","11NS60","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"26","2","11NS61","Black-chinned Hummingbird","D","PROB","1","1","6.67","0.0667","1","#FFFF00","#FFFF00"
"27","2","11NS73","Black-chinned Hummingbird","S","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"28","3","11NQ25","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"29","3","11NQ32","Black-chinned Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"30","3","11NQ33","Black-chinned Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"31","3","11NQ34","Black-chinned Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"32","3","11NQ43","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"33","3","11NQ54","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"34","4","11MQ34","Black-chinned Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"35","4","11MQ43","Black-chinned Hummingbird","NE","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"36","4","11MQ45","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"37","4","11MQ52","Black-chinned Hummingbird","D","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"38","4","11MQ53","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"39","4","11MQ55","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"40","4","11MQ67","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"41","4","11MQ73","Black-chinned Hummingbird","S","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"42","4","11MQ74","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"43","4","11MQ78","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"44","4","11MQ84","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"45","4","11MR46","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"46","4","11MR57","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"47","4","11MR60","Black-chinned Hummingbird","H","POSS","1","1","10.0","0.1","1","#FFA500","#FFA500"
"48","4","11NQ09","Black-chinned Hummingbird","H","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
"49","4","11NR01","Black-chinned Hummingbird","FY","CONF","1","Â","Â","Â","Â","#FF0000","#FF0000"
"50","4","11NR02","Black-chinned Hummingbird","P","PROB","1","Â","Â","Â","Â","#FFFF00","#FFFF00"
"51","4","11NR05","Black-chinned Hummingbird","S","POSS","1","Â","Â","Â","Â","#FFA500","#FFA500"
